word,key,tone,pos,trans,book,chap,inchap,manualfuri,autofuri,fullfuri,pendingfuri,charfuri,,,,,,,,,,,,,,,,,,,,,
中国人,,4,NOUN,中国人,Biaori,1,1,manual,,ちゅうごくじん,ちゅうごくじん,,,中,ちゅう,国,ごく,人,じん,,,,,,,,,,,,,,
日本人,,4,NOUN,日本人,Biaori,1,2,manual,,にほんじん,にほんじん,,,日,に,本,ほん,人,じん,,,,,,,,,,,,,,
韓国人,,4,NOUN,韩国人,Biaori,1,3,manual,,かんこくじん,かんこくじん,,,韓,かん,国,こく,人,じん,,,,,,,,,,,,,,
アメリカ人,,4,NOUN,美国人,Biaori,1,4,manual,,あめりかじん,あめりかじん,,,ア,あ,メ,め,リ,り,カ,か,人,じん,,,,,,,,,,
フランス人,,4,NOUN,法国人,Biaori,1,5,manual,,ふらんすじん,ふらんすじん,,,フ,ふ,ラ,ら,ン,ん,ス,す,人,じん,,,,,,,,,,
学生,,0,NOUN,（大）学生,Biaori,1,6,,auto,がくせい,がくせい,,,学,がく,生,せい,,,,,,,,,,,,,,,,
先生,,3,NOUN,老师,Biaori,1,7,manual,,せんせい,せんせい,,,先,せん,生,せい,,,,,,,,,,,,,,,,
留学生,,3,NOUN,留学生,Biaori,1,8,manual,,りゅうがくせい,りゅうがくせい,,,留,りゅう,学,がく,生,せい,,,,,,,,,,,,,,
教授,,0,NOUN,教授,Biaori,1,9,,auto,きょうじゅ,きょうじゅ,,,教,きょう,授,じゅ,,,,,,,,,,,,,,,,
社員,,1,NOUN,职员（社员）,Biaori,1,10,,auto,しゃいん,しゃいん,,,社,しゃ,員,いん,,,,,,,,,,,,,,,,
会社員,,3,NOUN,公司职员（会社员）,Biaori,1,11,,auto,かいしゃいん,かいしゃいん,,,会,かい,社,しゃ,員,いん,,,,,,,,,,,,,,
店員,,0,NOUN,店员,Biaori,1,12,manual,,てんいん,てんいん,,,店,てん,員,いん,,,,,,,,,,,,,,,,
