InputWord,WordKey,Tone,POS,ZhTranslation,ZhHint,Kana,Romaji,Wapuro,BookName,BookSeries,BookChapter,BookExtra,BookWordId,,,,,,,,,,,,,,,,30,CommonWord,ManualTags,AutoTags,RubyByExcel,RubyByConcat,ALERT,,,,,,,,,,,,,,,,,,,,,,,,60,AlterWord,ManualTags,AutoTags,RubyByExcel,RubyByConcat,ALERT,,,,,,,,,,,,,,,,,,,,,,,,120,UncommonWord,ManualTags,AutoTags,RubyByExcel,RubyByConcat,ALERT,,,,,
中国人,,4,NOUN,中国人,,,,,BIAORI,1,1,,1,,,,,,,,,,,,,,,,,中国人,manual,,ちゅうごくじん,ちゅうごくじん,,ちゅうごくじん,中,ちゅう,国,ごく,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本人,,4,NOUN,日本人,,,,,,,,,,,,,,,,,,,,,,,,,,日本人,manual,,にほんじん,にほんじん,,にほんじん,日,に,本,ほん,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓国人,,4,NOUN,韩国人,,,,,,,,,,,,,,,,,,,,,,,,,,韓国人,manual,,かんこくじん,かんこくじん,,かんこくじん,韓,かん,国,こく,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アメリカ人,,4,NOUN,美国人,,,,,,,,,,,,,,,,,,,,,,,,,,アメリカ人,special,,あめりかじん,Americaじん,,あめりかじん,アメリカ,America,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フランス人,,4,NOUN,法国人,,,,,,,,,,,,,,,,,,,,,,,,,,フランス人,special,,ふらんすじん,Franceじん,,ふらんすじん,フランス,France,人,じん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
学生,,0,NOUN,（大）学生,,,,,,,,,,,,,,,,,,,,,,,,,,学生,excel,excelauto,がくせい,がくせい,,がくせい,学,がく,生,せい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
先生,,3,NOUN,老师,,,,,,,,,,,,,,,,,,,,,,,,,,先生,manual,,せんせい,せんせい,,せんせい,先,せん,生,せい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
留学生,,3,NOUN,留学生,,,,,,,,,,,,,,,,,,,,,,,,,,留学生,manual,,りゅうがくせい,りゅうがくせい,,りゅうがくせい,留,りゅう,学,がく,生,せい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教授,,0,NOUN,教授,,,,,,,,,,,,,,,,,,,,,,,,,,教授,excel,excelauto,きょうじゅ,きょうじゅ,,きょうじゅ,教,きょう,授,じゅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社員,,1,NOUN,职员,社员,,,,,,,,,,,,,,,,,,,,,,,,,社員,excel,excelauto,しゃいん,しゃいん,,しゃいん,社,しゃ,員,いん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
会社員,,3,NOUN,公司职员,会社员,,,,,,,,,,,,,,,,,,,,,,,,,会社員,excel,excelauto,かいしゃいん,かいしゃいん,,かいしゃいん,会,かい,社,しゃ,員,いん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店員,,0,NOUN,店员,,,,,,,,,,,,,,,,,,,,,,,,,,店員,manual,,てんいん,てんいん,,てんいん,店,てん,員,いん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研修生,,3,NOUN,进修生,研修生,,,,,,,,,,,,,,,,,,,,,,,,,研修生,manual,,けんしゅうせい,けんしゅうせい,,けんしゅうせい,研,けん,修,しゅう,生,せい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
企業,,1,NOUN,企业,,,,,,,,,,,,,,,,,,,,,,,,,,企業,excel,excelauto,きぎょう,きぎょう,,きぎょう,企,き,業,ぎょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大学,,0,NOUN,大学,,,,,,,,,,,,,,,,,,,,,,,,,,大学,excel,excelauto,だいがく,だいがく,,だいがく,大,だい,学,がく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
父,,2,NOUN,（我）父亲,,,,,,,,,,,,,,,,,,,,,,,,,,父,excel,excelauto,ちち,ちち,,ちち,父,ちち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
課長,,0,NOUN,科长,,,,,,,,,,,,,,,,,,,,,,,,,,課長,excel,excelauto,かちょう,かちょう,,かちょう,課,か,長,ちょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社長,,0,NOUN,总经理，社长,,,,,,,,,,,,,,,,,,,,,,,,,,社長,excel,excelauto,しゃちょう,しゃちょう,,しゃちょう,社,しゃ,長,ちょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出迎え,,0,NOUN,迎接,出迎,,,,,,,,,,,,,,,,,,,,,,,,,出迎え,manual,,でむかえ,でむかえ,,でむかえ,出,で,迎,むか,え,え,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あの人,,2,NOUN,那个人,,,,,,,,,,,,,,,,,,,,,,,,,,あの人,excel,excelauto,あのひと,あのひと,,あのひと,あ,あ,の,の,人,ひと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わたし,,0,PRON,我,,,,,,,,,,,,,,,,,,,,,,,,,,わたし,excel,excelauto,わたし,わたし,,わたし,わ,わ,た,た,し,し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あなた,,2,PRON,你,,,,,,,,,,,,,,,,,,,,,,,,,,あなた,excel,excelauto,あなた,あなた,,あなた,あ,あ,な,な,た,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
どうも,,1,ADV,非常，很,どうも,,,,,,,,,,,,,,,,,,,,,,,,,どうも,excel,excelauto,どうも,どうも,,どうも,ど,ど,う,う,も,も,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
はい,,1,INTERJ,哎，是（应答）；是的,はい,,,,,,,,,,,,,,,,,,,,,,,,,はい,excel,excelauto,はい,はい,,はい,は,は,い,い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いいえ,,3,INTERJ,不，不是,いいえ,,,,,,,,,,,,,,,,,,,,,,,,,いいえ,excel,excelauto,いいえ,いいえ,,いいえ,い,い,い,い,え,え,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あっ,,,INTERJ,哎，哎呀,あっ,,a,axtsu,,,,,,,,,,,,,,,,,,,,,,あっ,excel,excelauto,あっ,あっ,,あっ,あ,あ,っ,っ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李,,,PROPER,李,,,,,,,,,,,,,,,,,,,,,,,,,,李,excel,excelauto,り,り,,り,李,り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王,,1,PROPER,王,,,,,,,,,,,,,,,,,,,,,,,,,,王,excel,excelauto,おう,おう,,おう,王,おう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
張,,1,PROPER,张,,,,,,,,,,,,,,,,,,,,,,,,,,張,excel,excelauto,ちょう,ちょう,,ちょう,張,ちょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
森,,0,PROPER,森,,,,,,,,,,,,,,,,,,,,,,,,,,森,excel,excelauto,もり,もり,,もり,森,もり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林,,0,PROPER,林,,,,,,,,,,,,,,,,,,,,,,,,,,林,excel,excelauto,はやし,はやし,,はやし,林,はやし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小野,,0,PROPER,小野,,,,,,,,,,,,,,,,,,,,,,,,,,小野,manual,,おの,おの,,おの,小,お,野,の,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉田,,0,PROPER,吉田,,,,,,,,,,,,,,,,,,,,,,,,,,吉田,manual,,よしだ,よしだ,,よしだ,吉,よし,田,だ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田中,,0,PROPER,田中,,,,,,,,,,,,,,,,,,,,,,,,,,田中,excel,excelauto,たなか,たなか,,たなか,田,た,中,なか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中村,,0,PROPER,中村,,,,,,,,,,,,,,,,,,,,,,,,,,中村,excel,excelauto,なかむら,なかむら,,なかむら,中,なか,村,むら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太郎,,1,PROPER,太郎,,,,,,,,,,,,,,,,,,,,,,,,,,太郎,manual,,たろう,たろう,,たろう,太,た,郎,ろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金,,1,PROPER,金,,,,,,,,,,,,,,,,,,,,,,,,,,金,special,,きん,キム,special,キム,金,キム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヂュポン,,1,PROPER,迪蓬,,,,,,,,,,,,,,,,,,,,,,,,,,ヂュポン,excel,excelauto,ぢゅぽん,ぢゅぽん,,ぢゅぽん,ヂ,ぢ,ュ,ゅ,ポ,ぽ,ン,ん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スミス,,1,PROPER,史密斯,,,,,,,,,,,,,,,,,,,,,,,,,,スミス,excel,excelauto,すみす,すみす,,すみす,ス,す,ミ,み,ス,す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジョンソン,,1,PROPER,约翰逊,,,,,,,,,,,,,,,,,,,,,,,,,,ジョンソン,excel,excelauto,じょんそん,じょんそん,,じょんそん,ジ,じ,ョ,ょ,ン,ん,ソ,そ,ン,ん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,,1,PROPER,中国,,,,,,,,,,,,,,,,,,,,,,,,,,中国,manual,,ちゅうごく,ちゅうごく,,ちゅうごく,中,ちゅう,国,ごく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京大学,,5,PROPER,东京大学,,,,,,,,,,,,,,,,,,,,,,,,,,東京大学,manual,,とうきょうだいがく,とうきょうだいがく,,とうきょうだいがく,東,とう,京,きょう,大,だい,学,がく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京大学,,4,PROPER,北京大学,,,,,,,,,,,,,,,,,,,,,,,,,,北京大学,special,,ぺきんだいがく,ペキンだいがく,special,ペキンだいがく,北,ペ,京,キン,大,だい,学,がく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC企画,,5,PROPER,JC策划公司,,,,JCkikaku,,,,,,,,,,,,,,,,,,,,,,JC企画,special,,JCきかく,ジェーシーきかく,special,ジェーシーきかく,J,ジェー,C,シー,企,き,画,かく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京旅行社,,5,PROPER,北京旅行社,,,,,,,,,,,,,,,,,,,,,,,,,,北京旅行社,special,,ぺきんりょこうしゃ,ペキンりょこうしゃ,special,ペキンりょこうしゃ,北,ペ,京,キン,旅,りょ,行,こう,社,しゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日中商事,,5,PROPER,日中商社,,,,,,,,,,,,,,,,,,,,,,,,,,日中商事,manual,,にっちゅうしょうじ,にっちゅうしょうじ,,にっちゅうしょうじ,日,にっ,中,ちゅう,商,しょう,事,じ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こんにちは,,5,IDIOM,你好,,,,,,,,,,,,,,,,,,,,,,,,,,こんにちは,excel,excelauto,こんにちは,こんにちは,,こんにちは,こ,こ,ん,ん,に,に,ち,ち,は,は,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
すみません,,4,IDIOM,对不起；请问,,,,,,,,,,,,,,,,,,,,,,,,,,すみません,excel,excelauto,すみません,すみません,,すみません,す,す,み,み,ま,ま,せ,せ,ん,ん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
どうぞ,,1,IDIOM,请,,,,,,,,,,,,,,,,,,,,,,,,,,どうぞ,excel,excelauto,どうぞ,どうぞ,,どうぞ,ど,ど,う,う,ぞ,ぞ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
よろしくお願いします,,,IDIOM,请多关照,,,,,,,,,,,,,,,,,,,,,,,,,,よろしくお願いします,manual,,よろしくおねがいします,よろしくおねがいします,,よろしくおねがいします,よ,よ,ろ,ろ,し,し,く,く,お,お,願,ねが,い,い,し,し,ま,ま,す,す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
はじめまして,,4,IDIOM,初次见面,,,,,,,,,,,,,,,,,,,,,,,,,,はじめまして,excel,excelauto,はじめまして,はじめまして,,はじめまして,は,は,じ,じ,め,め,ま,ま,し,し,て,て,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こちらこそ,,4,IDIOM,我才要（请您~）,,,,,,,,,,,,,,,,,,,,,,,,,,こちらこそ,excel,excelauto,こちらこそ,こちらこそ,,こちらこそ,こ,こ,ち,ち,ら,ら,こ,こ,そ,そ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
そうです,,1,IDIOM,是（这样）,,,,,,,,,,,,,,,,,,,,,,,,,,そうです,excel,excelauto,そうです,そうです,,そうです,そ,そ,う,う,で,で,す,す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ちがいます,,4,IDIOM,不是,,,,,,,,,,,,,,,,,,,,,,,,,,ちがいます,excel,excelauto,ちがいます,ちがいます,,ちがいます,ち,ち,が,が,い,い,ま,ま,す,す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分かりません,,5,IDIOM,不知道,,,,,,,,,,,,,,,,,,,,,,,,,,分かりません,manual,,わかりません,わかりません,,わかりません,分,わ,か,か,り,り,ま,ま,せ,せ,ん,ん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
どうもすみません,,1;7,IDIOM,实在对不起,,,,,,,,,,,,,,,,,,,,,,,,,,どうもすみません,excel,excelauto,どうもすみません,どうもすみません,,どうもすみません,ど,ど,う,う,も,も,す,す,み,み,ま,ま,せ,せ,ん,ん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さん,,,IDIOM,（~桑）,~桑,,,,,,,,,,,,,,,,,,,,,,,,,さん,excel,excelauto,さん,さん,,さん,さ,さ,ん,ん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ちゃん,,,IDIOM,（~酱）,~酱,,,,,,,,,,,,,,,,,,,,,,,,,ちゃん,excel,excelauto,ちゃん,ちゃん,,ちゃん,ち,ち,ゃ,ゃ,ん,ん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
君,,,IDIOM,（~君）,~君,,,,,,,,,,,,,,,,,,,,,,,,,君,special,,くん,くん,special,くん,君,くん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国,,,NOUN,国名,duplicate,,,,,1,1,EXT,1,,,,,,,,,,,,,,,,,国,excel,excelauto,くに,くに,,くに,国,くに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,,,PROPER,中国,duplicate,,,,,1,1,EXT,2,,,,,,,,,,,,,,,,,中国,manual,,ちゅうごく,ちゅうごく,,ちゅうごく,中,ちゅう,国,ごく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本,,,PROPER,日本,duplicate,,,,,1,1,EXT,3,,,,,,,,,,,,,,,,,日本,manual,,にほん,にほん,,にほん,日,に,本,ほん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アメリカ,,,PROPER,美国,duplicate,,,,,1,1,EXT,4,,,,,,,,,,,,,,,,,アメリカ,,,あめりか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
