あ,a,a,HIRAGANA,1,安,<ruby>愛<rt>あい</rt></ruby>；<ruby>会<rt>あ</rt></ruby>う,爱；见
い,i,i,HIRAGANA,2,以,<ruby>家<rt>いえ</rt></ruby>,家
う,u,u,HIRAGANA,3,宇,,
え,e,e,HIRAGANA,4,衣,,
お,o,o,HIRAGANA,5,於,,
か,ka,ka,HIRAGANA,6,加,,
き,ki,ki,HIRAGANA,7,幾,,
く,ku,ku,HIRAGANA,8,久,,
け,ke,ke,HIRAGANA,9,計,,
こ,ko,ko,HIRAGANA,10,己,,
さ,sa,sa,HIRAGANA,11,左,,
し,shi,shi,HIRAGANA,12,之,,
す,su,su,HIRAGANA,13,寸,,
せ,se,se,HIRAGANA,14,世,,
そ,so,so,HIRAGANA,15,曾,,
た,ta,ta,HIRAGANA,16,太,,
ち,chi,chi,HIRAGANA,17,知,,
つ,tsu,tsu,HIRAGANA,18,川,,
て,te,te,HIRAGANA,19,天,,
と,to,to,HIRAGANA,20,止,,
な,na,na,HIRAGANA,21,奈,,
に,ni,ni,HIRAGANA,22,仁,,
ぬ,nu,nu,HIRAGANA,23,奴,,
ね,ne,ne,HIRAGANA,24,祢,,
の,no,no,HIRAGANA,25,乃,,
は,ha,ha,HIRAGANA,26,波,,
ひ,hi,hi,HIRAGANA,27,比,,
ふ,fu,fu,HIRAGANA,28,不,,
へ,he,he,HIRAGANA,29,部,,
ほ,ho,ho,HIRAGANA,30,保,,
ま,ma,ma,HIRAGANA,31,末,,
み,mi,mi,HIRAGANA,32,美,,
む,mu,mu,HIRAGANA,33,武,,
め,me,me,HIRAGANA,34,女,,
も,mo,mo,HIRAGANA,35,毛,,
や,ya,ya,HIRAGANA,36,也,,
ゆ,yu,yu,HIRAGANA,38,由,,
よ,yo,yo,HIRAGANA,40,与,,
ら,ra,ra,HIRAGANA,41,良,,
り,ri,ri,HIRAGANA,42,利,,
る,ru,ru,HIRAGANA,43,留,,
れ,re,re,HIRAGANA,44,礼,,
ろ,ro,ro,HIRAGANA,45,吕,,
わ,wa,wa,HIRAGANA,46,和,,
を,o,wo,HIRAGANA,50,遠,,
ん,n,nn,HIRAGANA,51,无,,
ア,a,a,KATAKANA,1,阿,,
イ,i,i,KATAKANA,2,伊,,
ウ,u,u,KATAKANA,3,宇,,
エ,e,e,KATAKANA,4,江,,
オ,o,o,KATAKANA,5,於,,
カ,ka,ka,KATAKANA,6,加,,
キ,ki,ki,KATAKANA,7,幾,,
ク,ku,ku,KATAKANA,8,久,,
ケ,ke,ke,KATAKANA,9,介,,
コ,ko,ko,KATAKANA,10,己,,
サ,sa,sa,KATAKANA,11,散,,
シ,shi,shi,KATAKANA,12,之,,
ス,su,su,KATAKANA,13,須,,
セ,se,se,KATAKANA,14,世,,
ソ,so,so,KATAKANA,15,曾,,
タ,ta,ta,KATAKANA,16,多,,
チ,chi,chi,KATAKANA,17,千,,
ツ,tsu,tsu,KATAKANA,18,州,,
テ,te,te,KATAKANA,19,天,,
ト,to,to,KATAKANA,20,止,,
ナ,na,na,KATAKANA,21,奈,,
ニ,ni,ni,KATAKANA,22,二,,
ヌ,nu,nu,KATAKANA,23,奴,,
ネ,ne,ne,KATAKANA,24,祢,,
ノ,no,no,KATAKANA,25,乃,,
ハ,ha,ha,KATAKANA,26,八,,
ヒ,hi,hi,KATAKANA,27,比,,
フ,fu,fu,KATAKANA,28,不,,
ヘ,he,he,KATAKANA,29,部,,
ホ,ho,ho,KATAKANA,30,保,,
マ,ma,ma,KATAKANA,31,万,,
ミ,mi,mi,KATAKANA,32,三,,
ム,mu,mu,KATAKANA,33,牟,,
メ,me,me,KATAKANA,34,女,,
モ,mo,mo,KATAKANA,35,毛,,
ヤ,ya,ya,KATAKANA,36,也,,
ユ,yu,yu,KATAKANA,38,由,,
ヨ,yo,yo,KATAKANA,40,与,,
ラ,ra,ra,KATAKANA,41,良,,
リ,ri,ri,KATAKANA,42,利,,
ル,ru,ru,KATAKANA,43,流,,
レ,re,re,KATAKANA,44,礼,,
ロ,ro,ro,KATAKANA,45,吕,,
ワ,wa,wa,KATAKANA,46,和,,
ヲ,o,wo,KATAKANA,50,乎,,
ン,n,nn,KATAKANA,51,,,
