WordInput,WordKey,Romaji,Wapuro,Pos,JaTranslation,JaHint,ZhTranslation,ZhHint,ZhSentance,ZhSentanceTranslation,BookName,BookChapter,BookExtra,BookWordId,,,,,,,,,,,,,,,30
あ,,a,a,KANA;HIRAGANA;SEION,,安,,,<ruby>愛<rt>あい</rt></ruby>；<ruby>会<rt>あ</rt></ruby>う,爱；见,KANA,HIRAGANA,,1,,,,,,,,,,,,,,,
い,,i,i,KANA;HIRAGANA;SEION,,以,,,<ruby>家<rt>いえ</rt></ruby>,家,KANA,HIRAGANA,,2,,,,,,,,,,,,,,,
う,,u,u,KANA;HIRAGANA;SEION,,宇,,,,,KANA,HIRAGANA,,3,,,,,,,,,,,,,,,
え,,e,e,KANA;HIRAGANA;SEION,,衣,,,,,KANA,HIRAGANA,,4,,,,,,,,,,,,,,,
お,,o,o,KANA;HIRAGANA;SEION,,於,,,,,KANA,HIRAGANA,,5,,,,,,,,,,,,,,,
か,,ka,ka,KANA;HIRAGANA;SEION,,加,,,,,KANA,HIRAGANA,,6,,,,,,,,,,,,,,,
き,,ki,ki,KANA;HIRAGANA;SEION,,幾,,,,,KANA,HIRAGANA,,7,,,,,,,,,,,,,,,
く,,ku,ku,KANA;HIRAGANA;SEION,,久,,,,,KANA,HIRAGANA,,8,,,,,,,,,,,,,,,
け,,ke,ke,KANA;HIRAGANA;SEION,,計,,,,,KANA,HIRAGANA,,9,,,,,,,,,,,,,,,
こ,,ko,ko,KANA;HIRAGANA;SEION,,己,,,,,KANA,HIRAGANA,,10,,,,,,,,,,,,,,,
さ,,sa,sa,KANA;HIRAGANA;SEION,,左,,,,,KANA,HIRAGANA,,11,,,,,,,,,,,,,,,
し,,shi,shi,KANA;HIRAGANA;SEION,,之,,训令式罗马字：si,,,KANA,HIRAGANA,,12,,,,,,,,,,,,,,,
す,,su,su,KANA;HIRAGANA;SEION,,寸,,,,,KANA,HIRAGANA,,13,,,,,,,,,,,,,,,
せ,,se,se,KANA;HIRAGANA;SEION,,世,,,,,KANA,HIRAGANA,,14,,,,,,,,,,,,,,,
